p1		p2	
27238	GPKOW	4686	NCBP1
27238	GPKOW	84991	RBM17
27238	GPKOW	2962	GTF2F1
27238	GPKOW	11325	DDX42
9716	AQR	2071	ERCC3
9716	AQR	27238	GPKOW
9716	AQR	55696	RBM22
9716	AQR	10291	SF3A1
9716	AQR	6634	SNRPD3
9716	AQR	10914	PAPOLA
9716	AQR	8106	PABPN1
9716	AQR	5432	POLR2C
9716	AQR	8896	BUD31
9716	AQR	27339	PRPF19
9716	AQR	8683	SRSF9
9716	AQR	51692	CPSF3
9716	AQR	6626	SNRPA
9716	AQR	6431	SRSF6
9716	AQR	6629	SNRPB2
9716	AQR	11017	SNRNP27
9716	AQR	6627	SNRPA1
9716	AQR	1022	CDK7
9716	AQR	84950	PRPF38A
9716	AQR	6426	SRSF1
9716	AQR	23398	PPWD1
9716	AQR	9410	SNRNP40
9716	AQR	22938	SNW1
9716	AQR	24148	PRPF6
9716	AQR	6636	SNRPF
9716	AQR	9785	DHX38
9716	AQR	6637	SNRPG
9716	AQR	10992	SF3B2
9716	AQR	11157	LSM6
9716	AQR	53981	CPSF2
9716	AQR	6632	SNRPD1
9716	AQR	11051	NUDT21
9716	AQR	10921	RNPS1
9716	AQR	1642	DDB1
9716	AQR	51362	CDC40
9716	AQR	10594	PRPF8
9716	AQR	23450	SF3B3
9716	AQR	6638	SNRPN
9716	AQR	10465	PPIH
9716	AQR	11338	U2AF2
9716	AQR	9092	SART1
9716	AQR	9416	DDX23
9716	AQR	5431	POLR2B
9716	AQR	3184	HNRNPD
9716	AQR	51593	SRRT
9716	AQR	5430	POLR2A
9716	AQR	1479	CSTF3
9716	AQR	23020	SNRNP200
9716	AQR	3183	HNRNPC
9716	AQR	5426	POLE
9716	AQR	23350	U2SURP
9716	AQR	4670	HNRNPM
9716	AQR	10250	SRRM1
9716	AQR	22916	NCBP2
9716	AQR	23451	SF3B1
9716	AQR	1665	DHX15
9716	AQR	81608	FIP1L1
9716	AQR	29894	CPSF1
9716	AQR	3178	HNRNPA1
9716	AQR	6633	SNRPD2
9716	AQR	7874	USP7
9716	AQR	9879	DDX46
9716	AQR	3181	HNRNPA2B1
9716	AQR	2074	ERCC6
9716	AQR	56259	CTNNBL1
9716	AQR	56949	XAB2
9716	AQR	1660	DHX9
9716	AQR	10286	BCAS2
9716	AQR	988	CDC5L
9716	AQR	84991	RBM17
9716	AQR	10450	PPIE
9716	AQR	10946	SF3A3
9716	AQR	51645	PPIL1
9716	AQR	6429	SRSF4
9716	AQR	9128	PRPF4
9716	AQR	4686	NCBP1
9716	AQR	8451	CUL4A
9716	AQR	51340	CRNKL1
9716	AQR	10283	CWC27
9716	AQR	1993	ELAVL2
9716	AQR	5981	RFC1
9716	AQR	11325	DDX42
9716	AQR	2068	ERCC2
9716	AQR	220988	HNRNPA3
9716	AQR	6430	SRSF5
9716	AQR	8450	CUL4B
9716	AQR	1994	ELAVL1
9716	AQR	57703	CWC22
9716	AQR	9343	EFTUD2
9716	AQR	6635	SNRPE
9716	AQR	5424	POLD1
9716	AQR	5985	RFC5
9716	AQR	23658	LSM5
9716	AQR	6628	SNRPB
9716	AQR	10978	CLP1
9716	AQR	5356	PLRG1
9716	AQR	6625	SNRNP70
29995	LMCD1	2627	GATA6
5704	PSMC4	5685	PSMA4
5704	PSMC4	5716	PSMD10
5704	PSMC4	5684	PSMA3
5704	PSMC4	5714	PSMD8
5704	PSMC4	5691	PSMB3
5704	PSMC4	5713	PSMD7
5704	PSMC4	11047	ADRM1
5704	PSMC4	5695	PSMB7
5704	PSMC4	5700	PSMC1
5704	PSMC4	5687	PSMA6
5704	PSMC4	5689	PSMB1
5704	PSMC4	5717	PSMD11
5704	PSMC4	9097	USP14
5704	PSMC4	5709	PSMD3
5704	PSMC4	5694	PSMB6
5704	PSMC4	5686	PSMA5
5704	PSMC4	5692	PSMB4
5704	PSMC4	5701	PSMC2
5704	PSMC4	9861	PSMD6
5704	PSMC4	5702	PSMC3
5704	PSMC4	5708	PSMD2
5704	PSMC4	5707	PSMD1
5704	PSMC4	5705	PSMC5
5704	PSMC4	143471	PSMA8
5704	PSMC4	5718	PSMD12
5704	PSMC4	5719	PSMD13
5704	PSMC4	5699	PSMB10
5704	PSMC4	51377	UCHL5
5704	PSMC4	5693	PSMB5
5704	PSMC4	5710	PSMD4
5704	PSMC4	5688	PSMA7
5704	PSMC4	5690	PSMB2
5704	PSMC4	122706	PSMB11
5704	PSMC4	23198	PSME4
5704	PSMC4	10213	PSMD14
